,hard_text,profession,gender,id
217,"She graduated with honors in 2000. Having more than 17 years of diverse experiences, especially in NURSE PRACTITIONER, Christine Masters Barrett affiliates with Lexington Medical Center, and cooperates with other doctors and specialists in medical group Lexington County Health Services District Inc. Call Christine Masters Barrett on phone number (803) 358-6100 for more information and advises or to book an appointment.",nurse,F,217
218,"His photographs are represented by Getty Images and SuperStock USA and can be regularly seen in publications ranging from The Jewish Chronicle to Time Magazine. He also performs classical music professionally, and has played clarinet in major cities of five continents and performed at thirty consecutive seasons of BBC Promenade Concerts at the Royal Albert Hall, London.",photographer,M,218
219,"She received an M.A. in architectural history and a Master of Interior Design from the University of Texas at Austin. In her research, King focuses on innovators of design in the 20th century and the intersection between theory and practice.",professor,F,219
220,"By day, she's a copywriter for a major cannabis company. She earned an MFA from Antioch University and her work has appeared in Contrary, Connotation Press, Poets and Artists, Mental Floss, and various other print and online journals and magazines. She tweets @welbornleah.",poet,F,220
221,"He studies how linguistic, cultural, and bodily experiences shape the brain and mind. He received his doctorate from MIT's Department of Brain and Cognitive Sciences and completed post-doctoral training at Stanford University on a National Research Service Award. Casasanto's research has been funded by the National Science Foundation, the National Institutes of Mental Health, and by a James S. McDonnell Foundation Scholar Award. He has authored over 50 scientific publications which have been featured in such publications as The New York Times, The Wall Street Journal, NPR, Scientific American. He is a founding editor of the interdisciplinary journal Language and Cognition, an associate editor of Frontiers in Cognitive Science, and an editorial board member of the Journal of Experimental Psychology: General and of Psychological Science.",professor,M,221
222,"SPEC/GWPG is responsible for SPECviewperf and SPECwpc, graphics and workstation performance benchmarks that support virtualization. Dr. Konieczny optimizes both CPU and GPU performance at Intel, handles driver debugging, and implements OpenGL tests and demos. He holds a Ph.D. in computer science, with multiple publications in the field of computer graphics.",software engineer,M,222
223,"A Wasted Night, a short film which he completed as a course assignment, won the Best Foreign Short Film Award at the Los Angeles Comedy Film Festival in 2012. The film has since gone on to win multiple awards and screen in over twenty international film festivals. Filippo also wrote and directed The House Job, for which he received the award for Best Director and Best Foreign Short Film at the Los Angeles Comedy Film Festival. That same year, the film also won the Special Jury Prize for a Short at the Raindance Film Festival and included in this prize was the opportunity to create the Official Trailer for the Festival for which he has recently received a Young Director Award for the trailer during the Cannes Lions International Festival of Creativity.",filmmaker,M,223
224,"Before joining Clarkson, Dr. Wang was a postdoctoral associate in the Department of Mechanical Engineering at Massachusetts Institute of Technology, where he worked on the mechanics of polymers, polymeric-based micro- and nano-composite materials, and biological materials in Prof. Mary Boyce group. He received his B.E. (2001) and Ph.D. (2006) both from Tsinghua University, majoring in Solid Mechanics. Dr. Wang received National Excellent Doctoral Dissertation Award of P.R. China (2008) and Natural Science Award from Ministry of Education of China (2009).",professor,M,224
225,"Boris counsels clients in diverse industries, both large and small, as to issues pertaining to the clearance, protection, maintenance and enforcement of their valuable, non-tangible business assets. Boris previously practiced in the area of intellectual property law at another Chicago area law firm, and, before that, worked for two years as a Trademark Examining Attorney with the U.S. Patent & Trademark Office (USPTO) where he obtained valuable experience relating to the trademark prosecution and examination process.",attorney,M,225
226,"Although Patrick's passion for guitar performance started at an early age, his interest in composition began to emerge as an adolescent in the form of songwriting. As a guitarist in various bands throughout his young life, Patrick performed an eclectic variety of styles (mostly classic rock, pop, blues, progressive rock, etc.) and could often be found taking on the principal songwriting responsibilities, writing guitar-centric songs in the style of The Who, Led Zeppelin, and Van Halen.",composer,M,226
227,"He graduated with honors in 1994. Having more than 22 years of diverse experiences, especially in NURSE PRACTITIONER, Kenneth J Rinehart affiliates with no hospital, and cooperates with other doctors and specialists without joining any medical groups. Call Kenneth J Rinehart on phone number (509) 324-6464 for more information and advises or to book an appointment.",nurse,M,227
228,"Ms. Collins practices medicine in Austin, TX and specializes in Cardiovascular Disease. Ms. Collins is affiliated with Heart Hospital Of Austin Campus St David Medical Center and Seton Medical Center Austin. Ms. Collins speaks English and Spanish.",physician,F,228
229,"With Cara Delevingne's signature thick eyebrows, this pint-size model is an unmistakable lookalike to what Delevingne would have looked like as a child.",model,F,229
230,"She graduated with honors in 2011. Having more than 5 years of diverse experiences, especially in NURSE PRACTITIONER, Sandra A Boerner affiliates with many hospitals including Columbia St Marys Hospital Milwaukee, Columbia St Marys Hospital Ozaukee, and cooperates with other doctors and specialists in many medical groups including Columbia St Mary's Hospital Ozaukee, Inc., Columbia St. Mary's Hospital Milwaukee, Inc. Call Sandra A Boerner on phone number (262) 377-6933 for more information and advises or to book an appointment.",nurse,F,230
231,"She received her PhD from the Technion, and held a post-doctoral position at the Tepper School of Business, Carnegie Mellon University. Her research on creativity and learning explores different strategies for coping with paradoxical tensions and their effect on individuals and groups in different cultures. Her work has been published in journals such as the Academy of Management Journal, the Journal of Applied Psychology, Organization Science, Harvard Business Review, Organizational Behavior and Human Decision Processes, and the Journal of Organizational Behavior. She is a member of the editorial boards of Organization Science and the Journal of Organizational Behavior.",professor,F,231
232,"She graduated in fine Art with honors in 1999 and in 2000 she graduated with a Masters in Art and Design. both degrees were awarded by the Robert Gordon University in Aberdeen, Scotland.",photographer,F,232
233,"As leader of the Finance, Accounting and Payroll Departments, Ms. Rennich directs EPPA’s financial reporting, cash management, payroll, accounts payable, and physician benefits. In addition, she provides business consulting and financial modeling analysis to support EPPA’s strategic initiatives. Before joining EPPA, Ms. Rennich as a Senior Accountant with Olsen Thielen & Co., Ltd., and served as Director of Sales Tax Audits Division for the South Dakota Department of Revenue.",accountant,F,233
234,"He is a former editor of TransWorld SNOWboarding and the author of Agents of Change, The Story of DC Shoes and Its Athletes. He lives with his wife in Cardiff by the Sea, California.",journalist,M,234
235,"She holds a Ph. D Business Strategy from the Lally School of Management and Technology at Rensselaer Polytechnic Institute, Troy, New York. Prior to pursuing her PhD, she spent eleven years with General Electric in various management assignments in the U.S., Europe and Asia. She has also been employed by NCR Corporation, Eli Lilly and Company and Procter & Gamble. Dr. Harper’s experience includes both the for-profit and not-for-profit business sectors. She also serves as the Vice Chair of the Board of Directors for Albany County Land Bank Corporation. She and her husband, Timothy Harper, Ph.D., have two children, Brianna and Timothy II. Research Interests: Dr. Harper focuses her research on social issues in management, governance, innovation and firm market performance. About Marist",professor,F,235
236,"He is an Infectious Disease physician and has a weekly Castleman clinic that cares for more than 100 patients. His research interests are in HHV-8, MCD, HIV-related cancer, and cancer epidemiology.",professor,M,236
237,"She graduated from Texas A&M University in 2002 with a Bachelor of Science degree in Biomedical Science. She then went on to receive her Doctorate of Optometry from Southern College of Optometry (SCO) in Memphis, Tennessee in 2008. Following graduation, Dr. Lowell completed a residency in Acquired Brain Injury and Vision Rehabilitation at SUNY State College of Optometry in 2009. In 2011 she earned a Fellowship of the American Academy of Optometry (F.A.A.O.) as well as a Fellowship of the College of Optometrist in Vision Development (F.C.O.V.D.). She is passionate about vision therapy for both congenital and acquired visual deficits and is excited about what the future holds for the field of vision rehabilitation.",professor,F,237
238,"She received her MS (2010) and PhD (2012) in Organizational Psychology from the University of Maryland, College Park. Ashley’s research centers on trust in organizations, cross-cultural organizational behavior, and levels of analysis theory and research. Her work primarily examines the dynamics of trust between individuals and in teams within organizational and cross-cultural contexts. Ashley’s research has been published in top journals in Psychology and Management.",professor,F,238
239,"He has served in that role for approximately 17 years. Keith is a certified Forensic Photographer and Forensic Video Examiner by the International Association for Identification where he also serves on the Forensic Video Certification Board. Keith is a member of the National Institute of Justice's OSAC (Organization of Scientific Area Committees) Video and Image Analysis Subcommittee. John Sidoriak is the Vice president and Director of Operations for Fisher-Cal Industries, Inc., a photography, graphics, and multimedia contractor to the Department of Defense for over 20 years. John is also the accident and crime scene instructor to the Photodocumentation Series at the National Transportation Safety Board Training Center in Ashburn, VA.",photographer,M,239
240,She received her doctorate degree in Counseling Psychology and School Psychology from Florida State University. Her professional experiences include elementary and middle-school education and psychological assessment and counseling. Her research interests include the post-secondary success and retention of students with and without disabilities.,professor,F,240
241,"Adam is a 1997 honours graduate of the University of Toronto’s Doctor of Dental Surgery program. For over 15 years, Dr. Adam Szymczak has been providing quality dental implant treatments to the Cambridge community. Following graduation, he was admitted to a postgraduate residency at Mount Sinai Hospital in Toronto, where he received advanced training in disciplinary treatment, surgery, and implant dentistry.",dentist,M,241
242,"All the dental services offered are according to the needs of the patients. He makes sure that after a thorough assessment at the Davis dental center, the particular problem areas are addressed. Make an appointment at the dental clinic so as to have a brilliant smile afterwards.",dentist,M,242
243,"His award-winning shorts ‘Game’, ‘Central Market’ and ‘PickUp’ were Official Selections at over 30 festivals worldwide, including Slamdance, the Montreal World Film Festival, Tampere Short Film Festival and Dresden International Short Film Festival. He writes, edits, directs, produces and co-runs a bustling production house in the Kingdom of Bahrain.",filmmaker,M,243
244,She hopes that this website serves as a fun and interesting way to discuss the importance of mental health issues. Her favorite fictional character is Buffy the Vampire Slayer.,professor,F,244
245,"Ms. Woodford practices medicine in Jourdanton, TX and specializes in Family Medicine. Ms. Woodford is affiliated with South Texas Regional Medical Center. Ms. Woodford speaks English and Spanish.",physician,F,245
246,"Dr. Antekeier is board-certified in orthopedic surgery. His clinical interests are pediatric orthopedics, including scoliosis treatment and surgery, hip deformation or misalignment, and sports injuries and fractures. Dr. Antekeier earned his medical degree from Wayne State University School of Medicine in Detroit, MI. His training includes an orthopedic surgery residency at the University of Louisville in Kentucky and a pediatric orthopedic surgery fellowship at Cincinnati Children's Hospital in Ohio. Education",professor,M,246
247,"He received his Ph.D. in organizational behavior from Florida State University in 2006 and also holds a B.S. in Finance from the University of Connecticut and an MBA from SUNY-Binghamton. He has worked as a financial analyst and recruiter and has owned and operated a home improvement company. His research interests focus on the influence of perceptions and emotions on employees’ workplace behaviors, with the goal of understanding how cognitive factors affect employees’ levels of motivation and performance.",professor,M,247
248,"She graduated with honors from University Of Cincinnati College Of Medicine in 2011. Having more than 5 years of diverse experiences, especially in NURSE PRACTITIONER, Mary S Gamel affiliates with no hospital, and cooperates with other doctors and specialists in medical group Gore Medical Management. Call Mary S Gamel on phone number (770) 228-2641 for more information and advises or to book an appointment.",nurse,F,248
249,"After graduating from the University of San Francisco she went on to explore different areas of nursing including, orthopedic trauma/surgery, emergency room, critical care and pediatric intensive care unit. She is also a Public Health Nurse with an expertise in working with multicultural patients as they intersect within a healthcare setting.",nurse,F,249
250,"Prior to that she served as director of care management and interim vice president of nursing administration and chief nursing officer at Parkland Health & Hospital System in Dallas, TX.",professor,F,250
251,"She taught Estate Planning as an Adjunct Professor at Stetson University College of Law for a number of years. Sarah holds a Master of Science Degree in Speech Pathology from the University of South Florida, a Doctor of Philosophy Degree in Communicative Sciences and Disorders from Northwestern University, and a J.D. Degree from Stetson University College of Law, where she graduated Summa Cum. She is also active in numerous professional and civic organizations and is an active member of First United Church, St. Petersburg.",attorney,F,251
252,"Ms. Caserta practices medicine in Austin, TX and specializes in Dermatology and Plastic Surgery. Ms. Caserta is affiliated with University Medical Center Brackenridge and Seton Medical Center Austin. Ms. Caserta speaks English and Spanish.",physician,F,252
253,"Her style is emotional, colourful, personal and is inspired by a lifestyle and documentary approach. She is based out of Mount Hope and services the wider Hamilton and surrounding areas. She specializes in family, newborn and birth sessions.",photographer,F,253
254,"Her articles have been published by Scientific American online, OnEarth and SolveClimate. She also co-hosts and produces the Climopedia podcast.Â What’s With the Weather? Is Climate Change to Blame? April 21, 2011",journalist,F,254
255,"Areas of expertise for Dr. Angelo include acute kidney injury (AKI). Dr. Angelo's hospital/clinic affiliations include Texas Children's Hospital and Texas Medical Center (TMC). He takes Blue Cross/Blue Shield, Blue Cross Blue Shield Bronze, and Blue Cross Blue Shield Gold, in addition to other insurance carriers. Before performing his residency at a hospital affiliated with the University of Texas Health Science Center at Houston, Dr. Angelo attended Loyola University Chicago, Stritch School of Medicine.",physician,M,255
256,"His research examines self-evaluation of ability; accuracy of self and social perception; and the effects of age, culture, and gender on the self. More information can be obtained from his website.",professor,M,256
257,"Mrs. Tracy Joy Herring's NPI Number is #1912137860 and has been listed in the NPI registry for 7 years. Mrs. Tracy Joy Herring's practice location is listed as: 3650 Steve Reynolds Blvd. Kaiser Permanente Gwinnett Medical Office Duluth, GA 30096 and can be reached via phone at (770) 931-6065.",nurse,F,257
258,"His works have been exhibited widely and are held in many major public collections of photography. His most recent project is an ongoing study of the architecture of Le Corbusier. He was the founding curator of the photography collection of the Canadian Centre for Architecture at its inception, in 1974, and has been a consultant to the collection since 1989. Among his exhibitions and publications are Court House: A Photographic Document (1978), Photography and Architecture: 1839–1939 (1982), Tadao Ando: The Colours of Light (1996), and The Lost Vanguard: Russian Modernist Architecture, 1922–32 (2007).",photographer,M,258
259,"Most recently, his work has centered on utilizing Apache Spark as a dynamic, distributed execution engine behind large enterprise applications which require scalable ad-hoc access to big data.",architect,M,259
260,"She is also a registered nutritionist with the Nutrition Society. Alison teaches both undergraduate and postgraduate students at the Department of Primary Care and Child Health at King’s College London, focusing particularly on nutrition, acute medicine, advanced assessment and public health/primary care. Alison also works clinically as a nurse advisor for a GP out-of-hours service, where she gives clinical advice over the telephone.",nurse,F,260
261,"He is based near Haywards Heath in Sussex but travels through out Sussex, Surrey, Kent and the surrounding areas undertaking commissions. His work has been seen in regional, national and international magazines and has also published a photographic book. Phone Number: +44 (0) 1825 791437 Website: www.craigpayne.co.uk",photographer,M,261
262,She studied creative writing in the M.F.A. Program at the University of Arizona and most recently at Naropa University. She has worked two careers: poet-in-the-schools and journalist.,poet,F,262
263,"She focuses on legal issues surrounding Microsoft’s release management and servicing of current and legacy Windows operating systems. Prior to joining Microsoft she was an associate in the Patent Procurement practice group at Perkins Coie LLP, where she worked on a wide variety of projects in patent prosecution, licensing, and litigation. Before entering law school she worked as the Director of Strategic Development at a DARPA-funded biodefense start-up. She earned her B.S. in Electrical Engineering from the University of Washington, S.M. in Electrical Engineering from Massachusetts Institute of Technology (MIT), and her J.D. from the University of Washington School of Law. Find out more at www.linkedin.com/in/annievith.",attorney,F,263
264,"She acquired her Bachelors education in nursing before transitioning to psychology with a Master’s degree in Counselling Psychology and a doctorate in Clinical Psychology, all in the University of Ibadan. Additionally, she has a diploma in Cancer Prevention and Control as well as a diploma in Molecular Prevention from the National Cancer Institute in Maryland, USA.",psychologist,F,264
265,"His scholarship concentrating on the politics of performance has appeared in Theatre Journal, Puppetry International, Polish-AngloSaxon Studies, the LMDA Review and several anthologies. His research has been supported by Fulbright Fellowship, Thesaurus Poloniae Senior Scholar Fellowship, and a SEED Grant. Dr. Juntunen has extensive experience in the Chicago theatre scene as a playwright and dramaturg, and as a recipient of several grants from the Illinois Arts Council and the Chicago Department of Cultural Affairs. He studied at the Interdisciplinary Program in Theatre and Drama at Northwestern University (PhD), the Professional Playwriting Program at Ohio University (MA), Reed College (BA), and Clackamas Community College (AA).",professor,M,265
266,"He completed his fellowship in pediatric ENT at Children's Mercy Hospital and Clinics at the University of Kansas Medical Center in Kansas City, MO. A magna cum laude biology and chemistry graduate of the University of Illinois at Urbana-Champaign, Dr. Jiang received his medical degree at the University of Illinois at Chicago, where he was inducted into Alpha Omega Alpha Honor Medical Society. He completed his residency in otolaryngology-head and neck surgery at The University of Texas Southwestern Medical Center at Dallas.",professor,M,266
267,"She serves as Associate Editor for the Journal of Peacebuilding and Development. She received her PhD in International Relations from American University’s School of International Service, with concentrations in Peace and Conflict Resolution and Critical Geopolitics. She is the author of Struggling for a Just Peace: Israeli and Palestinian Activism in the Second Intifada and co-editor of Nonviolent Resistance in the Second Intifada: Activism and Advocacy. Maia worked for four years in the Middle East, including teaching and research positions in Jerusalem, Ramallah, and Amman. She led an IFPB Delegation in 2006.",professor,F,267
268,"He is the founder and the director of Shiraz Epilepsy Center and the director of Shiraz Epilepsy Surgery Committee. He completed his fellowship in epilepsy and clinical neurophysiology at Thomas Jefferson University, Philadelphia, PA (a 2-year fellowship from 2006 until 2008). He returned to Iran in 2008 and has been working as an epileptologist since September 2008. He is also an adjunct research faculty at the Department of Neurology, Thomas Jefferson University.",professor,M,268
269,"She is an Associate Member of the Chartered Institute of Management Accountants with a MSC in Auditing, Management Accounting & Information Systems from France, and currently pursuing her PHD focusing on Corporate Governance.",accountant,F,269
270,"Born abroad and raised across the world Dr. Khurasany found herself in Orange County as a young tennager before moving to the Inland Empire to start her path towards dentistry. She attended Western University of Health Sciences Dental School in Pomona, California, where she received her Doctor of Dental Medicine, graduating within the top 10% of her class. After this, Dr. Khurasany went on to complete her postgraduate studies in Advanced Education in General Dentistry (AEGD) in Los Angeles at the Lutheran Medical Center before embarking on her career as a general dentist back in the Inland Empire..",dentist,F,270
271,"Providing legal representation in California for a variety of different issues, Aggie Hoffman was selected to Super Lawyers for 2004 - 2018. She is admitted to practice before the courts in California.",attorney,F,271
272,"She received her PhD in Information Studies (health informatics) from the University of Sheffield, UK, and M.Sc. (information security) from the Royal Holloway University of London, UK. Her research interests include healthcare system security and information security architecture. She has delivered papers at various health informatics and information security conferences at national as well as international levels. She has also published papers in accredited national/international journals. Besides that, she also serves as a reviewer for various conferences and journals.",professor,F,272
273,"She received her PhD in Epidemiology at Tulane University, New Orleans, LA, and focused her post-doctoral work on occupational exposures related to hematopoietic cancers in adults. She was a Visiting Scientist at the Division of Cancer Epidemiology and Genetics at the National Cancer Institute, Bethesda, expanding her research on secondary cancers following treatment for a primary cancer, and environmental risk factors of lung cancer in China. She is currently an Adjunct Professor at UC Berkeley, School of Public Health, working on environmental and genetic factors of childhood leukemia in California and within the Childhood Leukemia International Consortium (CLIC).",physician,F,273
274,"Her poems have appeared in reputable Korean literary journals such as Literature and Society (문학과사회) and Modern Literature (현대문학). Her first book of poems, When Someone Stays Too Long (너무 오래 머물렀을 때), was published by Moonji Publishing in 2005. She also wrote Hyewha-dong La bohème (혜화동 라보엠), a free modern adaptation of Puccini's La bohème, which was performed by the Progressive Opera Studio in 2009.",poet,F,274
275,"His films on meth addiction, fatherlessness and pornography addiction have earned him national media awards, parliamentary speaking invites, national television appearances and extensive social recognition. Justin’s latest film, Addicted to Porn: Chasing the Cardboard Butterfly, was a Top 20 film in more than 20 countries and is distributed in over 60 nations in five different languages. He has worked with the likes of Val Kilmer, World Champion boxer Johnny Tapia, authors John Eldredge and Father Richard Rohr, and, most notably, Metallica’s James Hetfield.",filmmaker,M,275
276,"He received his PhD from the Schulich School of Business at York University, Canada. His research on regional innovation, location strategy, and institutional theory has appeared in leading academic journals including Academy of Management Journal, Strategic Management Journal, Entrepreneurship Theory and Practice, among the others. He co-edited the Thunderbird International Business Review special issue on ‘Opportunities and Threats for Chinese Multinationals’, and he is currently co-editing the Multinational Business Review special issue ‘Entrepreneurship and Innovation in China: A Global Perspective’.",professor,M,276
277,"She received her medical degree from Marshall University Joan C. Edwards School of Medicine, where she is in her third and final year of residency and serves as one of the department’s chief residents. B. Tate Hinkle",physician,F,277
278,"He graduated with honors in 1983. Having more than 33 years of diverse experiences, especially in NURSE PRACTITIONER, Estevan Acuna affiliates with Sonora Community Hospital, and cooperates with other doctors and specialists without joining any medical groups. Call Estevan Acuna on phone number (209) 533-9600 for more information and advises or to book an appointment.",nurse,M,278
279,"She graduated from the University of Maryland. Her articles have appeared in The Washington Post, USA TODAY, Education Week Teacher, WTOP and The Gazette. For News21, she wrote about constitutional sheriffs, designed and coded the project website and led the newsroom’s implementation of digital tools for reporting and diverse story formats. Find her at marlenachertock.com.",journalist,F,279
280,"She got trained as mental health and taken degree in clinical psychology from reputed institute. She was trained with all major psychological tests and various forms of Psychotherapies. Dr. Mehak has focused interest in holistic health care of people. She counsels with coping skills, conflict resolution, problem solving, decision making, assertive thinking and more. Her other areas of interest are relationship issues, self esteem problems, anxiety & emotional problems, trauma, motivation, enhancement, anger management etc.",psychologist,F,280
281,"Others dress them up with period aftermarket accessories. But not John Chiungos. He designed all the custom features of his ’75 Jaguar XJ6-C, worked with Jag experts like Peter Gould (British Auto/USA) and has his head-turning Coupe serviced and maintained by Jaguar Service in Chelmsford, MA. It's a pro-built, two-plus-two grand tourer",attorney,M,281
282,Dr. Mohan completed a residency in Internal Medicine at Sinai Grace Hospital/Wayne State University in Detroit. She received her medical degree from Trissur Medical College in India.,professor,F,282
283,"His writings on the arts and foreign policy have appeared in The New York Times, Foreign Policy, The National (U.A.E.), The Independent, Open Democracy and The Huffington Post. Copyright 2017 NPR. To see more, visit http://www.npr.org/.",composer,M,283
284,"His education has been expansive and includes studies at Valparaiso University, University of Freiburg, Germany, Concordia Sr. College, Indiana University Northwest and Cambridge University, Cambridge, England. After serving in the U.S. Army, he earned his medical degree from Indiana University in 1977. Dr. Kursch completed his residency at St. Vincent Health Center in Erie, Pennsylvania and went on to complete the Geriatric Fellowship and the Primary Care Faculty Development Fellowship at Michigan State University College of Human Medicine.",physician,M,284
285,"He graduated from Brown University’s School of Medicine in 1999 and completed a sports medicine fellowship at the University of Connecticut in 2004. Dr. Brown practices sports medicine at the Sports Medicine Institute at St. Francis Hospital and Medical Center, and is the assistant director of the UCONN primary care sports medicine fellowship.",physician,M,285
286,"She teaches and conducts research on issues involving diversity, human sexuality, and Latino mental health. She also works as a bilingual psychologist in the San Diego community.",professor,F,286
287,"Mr. Borden is first and foremost a trial lawyer. He has tried and won dozens of major cases during his career as a defense lawyer and public prosecutor. While he appreciates that his client’s interest is often well served by a negotiated resolution, he believes that the best route to a favorable agreement is to be ready to try the case and win it. He is known for meticulous preparation, creative trial strategies and client satisfaction.",attorney,M,287
288,"In 2014 she travelled together with colleague Gabriëlle Provaas, Jonas Staal and Younes Bouadi of the New World Summit, and European Representative of the National Liberation Movement of Azawad, through Azawad to make the documentary film Azawad: The Art of Creating a State. Gabriëlle Provaas is a filmmaker. In 2014 she travelled together with colleague Rob Schröder, Jonas Staal and Younes Bouadi of the New World Summit, and European Representative of the National Liberation Movement of Azawad, through Azawad to make the documentary film Azawad: The Art of Creating a State.",filmmaker,F,288
289,"She currently treats couples, families, adults using goal oriented methods and drawing from several treatment approaches. Marni has many years of clinical experience working on an inpatient psychiatric hospital, an outpatient primary healthcare facility and in private practice. Specialties:",psychologist,F,289
290,"He is a graduate of Vassar College and Yale Law School. Prior to rejoining the National Security Project in his current position, Mr. Ladin clerked for the Honorable Kim McLane Wardlaw of the U.S. Court of Appeals for the Ninth Circuit, and was a Skadden fellow at the ACLU Immigrants’ Rights Project and a fellow at the ACLU National Security Project.",attorney,M,290
291,"Prior to moving to Maine, Olga was the owner and director of Marvel Playhouse, a preschool and child care center in Pointe-Noire, Republic of Congo where she also taught English to native French speaking children. Olga received a Bachelor’s Degree in Kinshasa (Democratic Republic of Congo) and also worked in Kinshasa for the United Nations Office for Project Services.",teacher,F,291
292,"She currently holds the position of Global Director of IPR, Brand Protection for Nokia Corporation and is responsible for managing the company's Trademark, Product Design and Enforcement teams.",attorney,F,292
293,She received her Physician Assistant training at the St. John’s University Physician Assistant program and graduated Cum Laude with a bachelor of science in Physician Assistant studies. Jeniffer is board-certified by the National Commission of Certification for Physician Assistants and licensed by the Physician Assistant Board of New York.,physician,F,293
294,"Mr. Anthony John Herd primarily specializes in Physician Assistant but also specializes in and Surgical (Physician Assistant). Mr. Anthony John Herd's NPI Number is #1033103841 and has been listed in the NPI registry for 11 years. Mr. Anthony John Herd's practice location is listed as: 3933 Up River Rd Corpus Christi, TX 78408-3020 and can be reached via phone at (361) 882-1001.",physician,M,294
295,"She is enthusiastic about understanding environmental justice and sharing related concepts with her students. She discusses health impacts of fracking in surrounding communities as residents balance health exposures with economic gains. Listen to Dr. Cantu describe this and other issues, as she demonstrates love for her community and care for the community members and students she works with.",professor,F,295
296,"Dr. Ayesha Gupta practices at Dental Plaza in Lanka, Varanasi. She completed BDS from Avadh Institute of Dental Sciences, Lucknow in 2008. She is a member of MISOI and MIDA. Some of the services provided by the doctor are: Tooth Extraction,Gum Disease Treatment/ Surgery,Cast Partial Denture,Cosmetic Filling and Scaling / Polishing etc.",dentist,F,296
297,"He owns his own law practice, Jacobsen Law Office, P.S., located in Olympia, Washington www.jacobsenlawoffice.com. Ryan is a litigation and transaction lawyer, and his practice focuses on real estate, probate, guardianship, estate planning, contracts, and personal injuries.",attorney,M,297
298,"His Modern Curriculum for Gifted and Advanced Academic Students (Prufrock, 2016) won the 2016 Legacy Award for the Best Scholarly Work in Gifted Education, and he co-authored A Teacher’s Guide to Using the Common Core State Standards with Gifted and Advanced Learners in English/Language Arts (Prufrock Press, 2014). Kettler’s research has appeared in Gifted Child Quarterly, Journal for the Education of the Gifted, Journal of Advanced Academics, Psychology of Aesthetics, Creativity and the Arts, and Thinking Skills and Creativity.",professor,M,298
299,"His research focuses on the role of experts and expertise in public policy-making, both at the national and European levels. His first book “The Power of Economists within the State” is published by Stanford University Press in 2017.",professor,M,299
300,"He recently composed the score to the multi-award winning film Union Bound. Dane began composing music at the age of 12 when he started playing guitar. It wasn't until he was 15 that he began composing music in a variety of film styles. Since the age of 15, he wanted to pursue a career in not only music, but scoring to films, television, video games, and more.",composer,M,300
301,"He specializes in complex tax, trust and estate issues, as well as closely held businesses. He is involved in the Jewish and financial communities as a member of the Jewish Community Endowment Fund Professional Advisory Committee and the California Society of CPAs.",accountant,M,301
302,"From photographing nature’s most elusive species at the ocean floor to documenting human interaction with the landscape through aerial photography, Joel’s approach stays true to his soul; that of an artist, conservationist, waterman, mentor and adventurer.",photographer,M,302
303,"Previously at Cisco he served as a systems engineer in several sales groups, mostly serving large enterprise accounts and public sector accounts in Georgia and neighboring states. Prior to working at Cisco, he worked as a senior network engineer for the Georgia Court System and Legislature for the State of Georgia. Gyurindak holds many industry certifications including CCNP, CCNA, CCDP, CCDA, MCSE, MCNE, CCIE Routing & Switching certification 9057, and CISSP certification 61046. He holds a bachelor of science degree in network engineering from the State University of New York at Buffalo.",architect,M,303
304,"She graduated with honors in 2011. Having more than 6 years of diverse experiences, especially in CLINICAL PSYCHOLOGIST, Alecia A Viera affiliates with no hospital, and cooperates with other doctors and specialists in medical group Swenson Psychological Services, LLC. Call Alecia A Viera on phone number (952) 224-8990 for more information and advises or to book an appointment.",psychologist,F,304
305,"He handles cases in the area of disability rights, including disability benefits (both private long-term and short-term disability and Social Security disability). He has worked as an attorney at the Western Law Center for Disability Rights, where he was also an adjunct professor and has worked as the Advocacy Coordinator for the Westside Center for Independent Living. Consultations are available with regard to private disability, Social Security disability, and disability rights cases.",attorney,M,305
306,"Also a three sport athlete in high school, Anthony twice received All-State honors in baseball and continued his baseball career in college. Following college, he served as Assistant Head Coach and hitting instructor at a nearby high school program. In addition to leading the hitting instruction at PeakFast, Anthony provides explosive speed, power and agility training to athletes both in camp settings and one-on-one. He knows that enhanced speed, power and agility create improved performance, regardless the sport.",personal trainer,M,306
307,"She enjoys taking care of a wide variety of women with high risk pregnancies. Dr. Gibbins conducts research regarding women whose pregnancies have been complicated by problems with the placenta, including stillbirth, preeclampsia, fetal growth restriction, and recurrent pregnancy loss.",professor,F,307
308,"Her research interests converge on the broad themes of sustainable agriculture, food security, health, nutrition and social inequalities, with a primary focus in southern Africa.",professor,F,308
309,"His current research interests include financial reporting quality, corporate governance, and taxation. His works in these areas have been published in Journal of Financial Economics, Contemporary Accounting Research, Journal of Accounting Research, and The Accounting Review. Dr. Zhang received his Ph.D. degree in accounting from Nanyang Technological University (Singapore) and his B.A. degree in accounting from Tsinghua University (Beijing)",professor,M,309
310,He’s a polyglot programmer with a passion for hardware. Andrew’s posts on the hardware platform Arduino have been featured in Hacker Monthly and used in higher educational institutions around the world. He’s also lectured at University on JavaScript and the Internet of Things.,teacher,M,310
